player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2017-171-d-artagnan-joly,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480057,https://api-web.nhle.com/v1/player/8480057/landing
2017-172-ryan-mcgregor,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480248,https://api-web.nhle.com/v1/player/8480248/landing
2017-173-cedric-pare,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480249,https://api-web.nhle.com/v1/player/8480249/landing
2017-174-morgan-barron,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480289,https://api-web.nhle.com/v1/player/8480289/landing
2017-175-trenton-bourque,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480250,https://api-web.nhle.com/v1/player/8480250/landing
2017-176-pavel-koltygin,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480013,https://api-web.nhle.com/v1/player/8480013/landing
2017-177-skyler-brind-amour,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480291,https://api-web.nhle.com/v1/player/8480291/landing
2017-178-andrei-svetlakov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480251,https://api-web.nhle.com/v1/player/8480251/landing
2017-179-carson-meyer,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480292,https://api-web.nhle.com/v1/player/8480292/landing
2017-180-cole-guttman,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480252,https://api-web.nhle.com/v1/player/8480252/landing
2017-181-petrus-palmu,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479610,https://api-web.nhle.com/v1/player/8479610/landing
2017-182-benton-maass,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480253,https://api-web.nhle.com/v1/player/8480253/landing
2017-183-jordan-hollett,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480254,https://api-web.nhle.com/v1/player/8480254/landing
2017-184-sebastian-repo,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480255,https://api-web.nhle.com/v1/player/8480255/landing
2017-185-sasha-chmelevski,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480053,https://api-web.nhle.com/v1/player/8480053/landing
2017-186-antti-palojarvi,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480256,https://api-web.nhle.com/v1/player/8480256/landing
2017-187-nick-leivermann,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480257,https://api-web.nhle.com/v1/player/8480257/landing
